artist_names,track_name,peak_rank,weeks_on_chart
"Drake, Future, Young Thug",Way 2 Sexy (with Future & Young Thug),5,20
Trueno,DANCE CRIP,79,9
"Jhay Cortez, Anuel AA",Ley Seca,44,20
Måneskin,I WANNA BE YOUR SLAVE,8,35
"Zé Felipe, Mc Danny",Toma Toma Vapo Vapo,75,8
Kanye West,Praise God,16,19
Rauw Alejandro,Cúrame,35,26
"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,15,48
Sleepy Hallow,2055,31,27
Tate McRae,you broke me first,13,78
Olivia Rodrigo,favorite crime,11,31
"Lady Gaga, Bradley Cooper",Shallow,3,171
Masked Wolf,Astronaut In The Ocean,3,53
"Nio Garcia, J Balvin, Bad Bunny",AM Remix,14,30
John Legend,All of Me,110,145
TWICE,The Feels,57,16
"Joel Corry, Jax Jones, Charli XCX, Saweetie",OUT OUT (feat. Charli XCX & Saweetie),42,21
"Imagine Dragons, Arcane, League of Legends",Enemy - From the series Arcane League of Legends,171,3
Billie Eilish,Bored,51,16
"J Balvin, Maria Becerra",Qué Más Pues?,9,34
Duncan Laurence,Arcade,23,52
Giveon,Heartbreak Anniversary,8,47
"Alesso, Katy Perry",When I’m Gone (with Katy Perry),135,3
"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),30,20
Billie Eilish,Happier Than Ever - Edit,70,17
Maroon 5,Memories,2,116
"Boza, Lunay, Lenny Tavárez, Juhn, Beéle",Ella - Remix,188,1
Polo G,RAPSTAR,3,40
Taylor Swift,Enchanted,61,10
Kep1er,WA DA DA,191,1
"TINI, Maria Becerra",Miénteme,41,35
"Mari Fernandez, Marcynho Sensação",Parada Louca,107,3
"Drake, Travis Scott",Fair Trade (with Travis Scott),3,19
"Marshmello, Jonas Brothers",Leave Before You Love Me (with Jonas Brothers),52,30
Travis Scott,goosebumps,13,226
"J Balvin, Ed Sheeran",Sigue,45,1
Daddy Yankee,RUMBATÓN,58,1
Tate McRae,chaotic,83,1
"Machine Gun Kelly, blackbear",make up sex (feat. blackbear),91,1
Yahritza Y Su Esencia,Soy El Unico,97,1
Red Velvet,Feel My Rhythm,114,1
Pharrell Williams,Just A Cloud Away,115,2
Foo Fighters,Everlong,164,1
Daddy Yankee,REMIX,166,1
"Machine Gun Kelly, WILLOW",emo girl (feat. WILLOW),111,2
Olivia Rodrigo,"jealousy, jealousy",17,29
"Daddy Yankee, Sech",PARA SIEMPRE,193,1
Bruno Mars,Just the Way You Are,133,22
Justin Bieber,Love Yourself,62,50
Harry Styles,Daylight,10,2
Harry Styles,Little Freak,8,2
"Kanye West, XXXTENTACION",True Love,24,1
Harry Styles,Grapejuice,11,2
Harry Styles,Satellite,14,2
Kendrick Lamar,N95,3,3
Harry Styles,Love Of My Life,15,2
Harry Styles,Cinema,13,2
Harry Styles,Daydreaming,16,2
Harry Styles,Keep Driving,19,2
"Kendrick Lamar, Blxst, Amanda Reifer",Die Hard,8,3
Harry Styles,Boyfriends,22,2
Jovem Dionisio,ACORDA PEDRINHO,77,2
Bad Bunny,Un Verano Sin Ti,20,4
Bad Bunny,Enséñame a Bailar,27,4
"Sleepy Hallow, 347aidan",Die Young (feat. 347aidan),97,1
The Kid LAROI,Thousand Miles,18,6
Bad Bunny,El Apagón,28,4
Måneskin,SUPERMODEL,89,3
Bad Bunny,Agosto,30,4
"Jax Jones, MNEK",Where Did You Go? (feat. MNEK),116,7
The Goo Goo Dolls,Iris,124,5
"PSY, SUGA",That That (prod. & feat. SUGA of BTS),21,5
Kendrick Lamar,Rich Spirit,17,3
Jack Harlow,Dua Lipa,37,4
Future,PUFFIN ON ZOOTIEZ,40,5
Victor Cibrian,En El Radio Un Cochinero,148,1
"Mora, Sech",TUS LÁGRIMAS,93,6
"Morat, Duki",París,130,2
Harry Styles,Adore You,6,104
LE SSERAFIM,FEARLESS,149,4
Leah Kate,10 Things I Hate About You,117,6
IVE,LOVE DIVE,51,8
"Matheus Fernandes, Xand Avião",Balanço da Rede,171,2
Kevin Kaarl,San Lucas,149,5
"Kendrick Lamar, Kodak Black",Silent Hill,21,3
Kendrick Lamar,United In Grief,11,3
Luciano,Beautiful Girl,59,5
Jessi,ZOOM,89,6
Shawn Mendes,When You're Gone,21,9
BTS,Run BTS,11,1
BTS,For Youth,30,1
BTS,Born Singer,43,1
"Pharrell Williams, 21 Savage, Tyler, The Creator",Cash In Cash Out,53,1
Musical Youth,Pass The Dutchie,85,2
Halsey,So Good,95,1
"Tiago PZK, Ozuna",Nos Comemos (feat. Ozuna),140,2
Childish Gambino,Me and Your Mama,158,2
Duki,Antes de Perderte,173,1
Sidhu Moose Wala,295,141,2
"BTS, Halsey",Boy With Luv (feat. Halsey),3,46
Joji,SLOW DANCING IN THE DARK,75,36
Lil Tjay,In My Head,30,1
"Ak4:20, Pailita, Cris Mj",Me Arrepentí,80,1
"Duki, De La Ghetto, Quevedo",Si Quieren Frontear,113,1
Harry Styles,Falling,29,81
"Kehlani, Justin Bieber",up at night (feat. justin bieber),131,1
Harry Styles,Golden,44,34
Teto,Fim de Semana no Rio,139,1
BIGBANG,Still Life,148,1
Bruno Mars,When I Was Your Man,181,2
Harry Styles,Sign of the Times,14,39
Lord Huron,The Night We Met,55,29
"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),144,2
"Chefin, Mainstreet",212,89,1
Lana Del Rey,Watercolor Eyes - From “Euphoria” An HBO Original Series,90,1
Muni Long,Hrs & Hrs,119,1
"Labrinth, Zendaya",All For Us - from the HBO Original Series Euphoria,108,3
Chase Atlantic,Swim,134,1
Stephanie Beatriz,Waiting On A Miracle,155,1
"Alvaro Diaz, Rauw Alejandro",Problemón,158,1
V,Christmas Tree,100,2
XXXTENTACION,Jocelyn Flores,7,216
Paulo Londra,Chance,56,1
"Camila Cabello, WILLOW",psychofreak (feat. WILLOW),71,1
"Matuê, WIU, Teto",Vampiro,82,1
Lil Baby,Right On,103,1
Charlie Puth,That's Hilarious,112,1
